DATE,POONDI,CHOLA VARAM,RED HILLS,TAMARAI PAKKAM,CHEMBARAM BAKKAM,KORATTUR ANICUT,VEERANAM,NUNGAM BAKKAM,MEENAM BAKKAM
10.01.2018,,,,,,,9,Tr,0.1
11.01.2018,,,,,,,62,1.7,7.5
12.01.2018,,,,,,,3,,
08.02.2018,2.4,,,,13,,,1.0,1.4
17.03.2018,5,1,8,0,0,0,0,0.8,0
18.03.2018,2,0,0,0,2,0,2,0,0.6
02.05.2018,4,,,,,,,,
03.06.2018,3,,,4,,,,,
04.06.2018,,,1,42,,,,,
07.06.2018,2,15,21,5,45,23,0,35.3,29.7
15.06.2018,2,,,,,,,,
16.06.2018,4,4,7,4,4,2,0,15.4,22.8
18.06.2018,,3,4,,,,,,
24.06.2018,3,2,,,,13,0,1.0,Trace
25.06.2018,3,3,4,7,,,,0.4,
27.06.2018,12,,,,,24,,3.6,3.6
28.06.2018,2,1,,4,,,,,
29.06.2018,2,3,4,,,,,,
02.07.2018,6,,,,16,18,,,
03.07.2018,74,22,22,38,47,46,,60.0,50.0
10.07.2018,4,5,9,11,,,,0.01,1.8
11.07.2018,,,2,,,,3,10.6,2.7
12.07.2018,10,14,8,13,30,48,0,28.1,17.4
13.07.2018,4,5,,5,2,,2,4.9,3.0
14.07.2018,,,,,12,,,1.1,21.4
18.07.2018,,,,,,,,,0.1
19.07.2018,,,,,,,,0.5,0.1
23.07.2018,,,,,,,,Trace,Trace
24.07.2018,,,,,,,,3.0,1.1
25.07.2018,3,,,,5,,,0.2,3.3
27.07.2018,,,,,,,,1.2,4.1
28.07.2018,,,,,,,,0.1,
30.07.2018,,,2,,,,,7.0,Trace
01.08.2018,4,,,9,12,,,3.3,11.6
02.08.2018,,,,,,,,0.5,0.3
03.08.2018,,,,,5,,6,Trace,2.2
04.08.2018,6,7,11,4,12,7,23,2.9,1.6
05.08.2018,14,28,32,22,5,9,0,19.2,8.3
06.08.2018,,,1,,,,,,0.4
07.08.2018,,,,,,,,,0.4
08.08.2018,,,,,4,,,0.1,5.9
09.08.2018,8,7,10,8,7,,,9.3,12.0
10.08.2018,12,18,16,18,2,10,0,13.8,7.0
11.08.2018,5,7,6,7,4,7,0,5.4,3.2
12.08.2018,5,4,6,7,1,0,0,4.1,2.6
13.08.2018,,,,,,,,Trace,0.1
14.08.2018,,,,,6,,4,2.5,1.2
15.08.2018,45,26,17,32,53,47,7,56.8,67.4
16.08.2018,4,14,11,0,3,0,0,2.5,1.2
17.08.2018,6,6,5,6,3,0,0,6.5,5.4
22.08.2018,,,,,,,,Trace,Trace
24.08.2018,0,4,2,,,,6,0.1,
25.08.2018,,,7,,,,26,1.6,0.2
26.08.2018,9,4,6,38,0,0,0,1.8,0.5
28.08.2018,5,33,20,11,11,0,12,10.0,9.7
29.08.2018,4,,,4,,,,1.6,
30.08.2018,,,,,,,33,,
31.08.2018,,35,27,7,7,,32,31.5,16.1
01.09.2018,5,13,6,3,,,2,0.4,0.2
02.09.2018,32,,,5,4,,,1.2,2.2
03.09.2018,,,,,,,,Trace,1.5
05.09.2018,,,,,,,,Trace,Trace
14.09.2018,20,3,7,56,14,5,,1.7,
15.09.2018,,,,,,,3,,
16.09.2018,27,,,2,,,,2.0,0.4
17.09.2018,49,54,18,58,37,11,0,26.0,46.2
18.09.2018,10,61,25,16,35,11,0,10.8,27.2
19.09.2018,31,27,5,47,43,18,2,17.6,22.4
20.09.2018,2,1,0,2,2,,,0.2,0.4
22.09.2018,1,,,13,,,,Trace,
25.09.2018,,,,2,,7,,,
26.09.2018,5,,,,,,,,
29.09.2018,,,,,,4,5,,
03.10.2018,,,1,,,,5,,4.8
04.10.2018,16,19,2,29,3,8,82,8.4,0.6
05.10.2018,27,86,59,44,45,38,38,46,53.3
06.10.2018,12,25,14,15,22,9,29,26,16
07.10.2018,,25,,,,,24,6.5,0.2
08.10.2018,,16,8,,,,,Trace,0.5
09.10.2018,,,8,4,,,7,,0.3
17.10.2018,15,,,3,,,15,0.2,Trace
18.10.2018,,9,16,7,5,14,0,20,64.8
19.10.2018,,,,,1,,3,,
20.10.2018,0,0,0,0,3,0,0,0,60.2
21.10.2018,0,0,0,0,9,0,3,1.0,14.2
22.10.2018,0,0,0,0,0,0,29,0,0
31.10.2018,0,15,32,0,13,5,0,8.5,5.8
01.11.2018,0,40,61,14,35,19,16,35.6,33.4
02.11.2018,37,14,10,16,7,21,16,8.0,8.5
03.11.2018,0,0,0,0,0,0,57,0,0
04.11.2018,0,4,3,0,0,5,5,6.0,7.2
05.11.2018,5,4,0,2,3,0,6,0.0,0.0
06.11.2018,0,0,2,4,5,0,0,0.1,0.6
07.11.2018,2,0,0,0,0,0,0,0,0
08.11.2018,0,0,0,0,0,0,7,0,0
09.11.2018,0,0,0,0,0,0,17,0,0
10.11.2018,0,0,0,0,0,0,0,Trace,0
15.11.2018,4,4,5,4,1,2,0,1.0,1.4
16.11.2018,12,19,12,16,4,18,43,2.0,6.5
17.11.2018,0,0,0,2,3,1,3,3.8,0.0
18.11.2018,0,0,0,0,11,0,0,0,3.8
19.11.2018,0,0,0,0,0,0,0,0.2,0.3
20.11.2018,0,0,0,0,0,0,7,0,0
21.11.2018,11,19,31,27,45,22,45,17.4,39.5
22.11.2018,56,120,106,83,31,31,4,85.5,75.9
23.11.2018,13,59,57,52,21,11,8,12.3,16.9
24.11.2018,24,7,5,3,0,2,30,0,0
29.11.2018,,,,,,,41,,
30.11.2018,,,,,,,11,,Trace
04.12.2018,14,80,48,33,5,2,7,6.4,11.1
05.12.2018,6,78,16,48,13,8,1,0.0,16.5
06.12.2018,0,17,12,0,7,27,18,21.2,3.6
15.12.2018,,,,,,,,Trace,Trace
16.12.2018,0,0,0,0,0,0,0,0.1,0
23.12.2018,0,0,0,0,6,0,14,7.2,21.4
24.12.2018,0,0,0,0,0,0,16,0,0
30.12.2018,0,0,3,0,0,0,0,0.2,0.6
