Lake,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
POONDI,2003,781,278,192,22,14,7,3,5,7,5,57,14
POONDI,2004,4,5,4,8,4,5,5,3.5,1.2,14.2,49.6,324.2
POONDI,2005,805,851,495,215,236,180,126,89,79,18,1582,2826
POONDI,2006,3231,3035,2669,1958,1744,1394,793,531,632,1725,2265,2354
POONDI,2007,2928,2565,2246,2036,1867,1270,305,200,1071,2265,2429,2568
POONDI,2008,3101,3061,2801,2487,2257,945,736,639,540,989,2100,3018
POONDI,2009,3058,3025,2798,2886,2287,2000,1567,695,180,605,1175,2255
POONDI,2010,2293,1493,1758,2054,1356,1195,1050,1098,1264,1306,1795,2823
POONDI,2011,3231,3108,2733,2530,2381,1700,1180,1798,2312,3054,2666,2484
POONDI,2012,2839,3048,2858,2577,2348,2080,1705,940,614,593,695,796
POONDI,2013,1520,1359,986,411,404,337,219,198,307,329,457,747
POONDI,2014,147,254,526,93,294,429,105,81,574,410,286,280
POONDI,2015,487,235,235,77,155,98,80,52,59,59,70,2745
POONDI,2016,3114,2667,2049,-,-,-,-,-,-,-,-,-
CHOLA VARAM,2003,542,139,53,46,7,0,0,0,0,0,0,0
CHOLA VARAM,2004,0,0,0,0,0,0,0,0,0,0,0,158
CHOLA VARAM,2005,71,57,36,0,0,0,0,0,0,0,569,797
CHOLA VARAM,2006,763,721,665,585,521,439,387,325,208,229,540,708
CHOLA VARAM,2007,473,545,524,294,49,39,37,56,68,130,431,660
CHOLA VARAM,2008,881,867,785,756,676,583,514,289,184,97,325,881
CHOLA VARAM,2009,872,778,705,625,539,172,83,104,167,188,208,607
CHOLA VARAM,2010,715,686,651,214,84,98,100,155,270,405,431,698
CHOLA VARAM,2011,816,840,770,678,624,218,90,92,123,140,684,836
CHOLA VARAM,2012,855,495,300,102,86,83,85,85,85,93,218,329
CHOLA VARAM,2013,471,398,89,75,41,0,0,0,0,0,142,170
