DATE,UNIX_TIME,Year,Month,POONDI,CHOLA VARAM,RED HILLS,TAMARAI PAKKAM,CHEMBARAM BAKKAM,KORATTUR ANICUT,VEERANAM,NUNGAM BAKKAM,MEENAM BAKKAM
03.01.11,1298917800000.0,2011,03,0,0,0,0,57,0,,,
04.01.11,1301596200000.0,2011,04,2.2,0,0,0,0,0,,,
05.01.11,1304188200000.0,2011,05,2,0,0,0,2,0,,,
08.01.11,1312137000000.0,2011,08,0,0,1,0,0,0,,,
22.02.11,1298313000000.0,2011,02,27.6,12,15,10,34,5,,,
23.02.11,1298399400000.0,2011,02,18,42,48,9,45,18,,,
24.02.11,1298485800000.0,2011,02,1.6,5,4,51,2,6,,,
22.04.11,1303410600000.0,2011,04,3.4,4,26,0,5,0,,,
23.04.11,1303497000000.0,2011,04,19.4,18,22.6,9,2,30,,,
24.04.11,1303583400000.0,2011,04,5.2,0,0,1,0,0,,,
26.04.11,1303756200000.0,2011,04,0,0,5,0,0,0,,,
21.05.11,1305916200000.0,2011,05,39,29,4,89,45,47,,,
22.05.11,1306002600000.0,2011,05,0,0,0,0,3,0,,,
02.06.11,1296930600000.0,2011,02,17.6,8,2,79,40,83,,,
07.06.11,1309890600000.0,2011,07,7.4,32,42,9,22,73,,,
13.06.11,1307903400000.0,2011,06,0,4,3.2,3,0,0,,,
15.06.11,1308076200000.0,2011,06,14.4,0,21,2,25,26,,,
21.06.11,1308594600000.0,2011,06,1,0,0,0,0,0,,,
24.06.11,1308853800000.0,2011,06,17.2,2,3.4,7,5,26,,,
25.06.11,1308940200000.0,2011,06,0,0,5.3,4,0,0,,,
02.07.11,1297017000000.0,2011,02,24.2,10,5,39,4,0,,,
03.07.11,1299436200000.0,2011,03,9.4,10,12,12,30,9,,,
05.07.11,1304706600000.0,2011,05,0,0,0,0,16,15,,,
06.07.11,1307385000000.0,2011,06,0,5,1.4,11,0,0,,,
07.07.11,1309977000000.0,2011,07,9.4,15,32.2,24,35,36,,,
12.07.11,1323196200000.0,2011,12,17,0,0,3,9,6,,,
14.07.11,1310581800000.0,2011,07,2.4,0,2,0,0,0,,,
17.07.11,1310841000000.0,2011,07,0,0,0,0,3,0,,,
19.07.11,1311013800000.0,2011,07,1.2,0,0,0,0,0,,,
20.07.11,1311100200000.0,2011,07,3.6,8,1.2,0,47,6,,,
23.07.11,1311359400000.0,2011,07,6,0,2,1,4,0,,,
24.07.11,1311445800000.0,2011,07,5.6,0,0,0,0,0,,,
25.07.11,1311532200000.0,2011,07,5.8,0,0,0,2,0,,,
27.07.11,1311705000000.0,2011,07,27,2,5.2,34,15,17,,,
28.07.11,1311791400000.0,2011,07,8,14.2,11.2,23,13,22,,,
01.08.11,1294425000000.0,2011,01,2.2,2,3,5,0,0,,,
03.08.11,1299522600000.0,2011,03,1.4,0,0,3,3,0,,,
05.08.11,1304793000000.0,2011,05,0.6,0,0,0,6,0,,,
06.08.11,1307471400000.0,2011,06,20.6,44,42,23,16,0,,,
08.08.11,1312741800000.0,2011,08,5.8,5,0,11,0,0,,,
09.08.11,1315420200000.0,2011,09,9,28,16,2,10,10,,,
10.08.11,1318012200000.0,2011,10,0,0,0,0,3,7,,,
11.08.11,1320690600000.0,2011,11,23.2,48,25,54,35,42,,,
12.08.11,1323282600000.0,2011,12,5,0,0,0,0,0,,,
13.08.11,1313173800000.0,2011,08,0.8,0,0,0,0,0,,,
16.08.11,1313433000000.0,2011,08,5,11,0,0,0,18,,,
17.08.11,1313519400000.0,2011,08,0,0,0,7,0,6,,,
18.08.11,1313605800000.0,2011,08,2.8,0,12,16,34,8,,,
19.08.11,1313692200000.0,2011,08,41,6,18,20,3,7,,,
21.08.11,1313865000000.0,2011,08,40.2,80,81,78,99,101,,,
22.08.11,1313951400000.0,2011,08,4.6,0,0,6,0,0,,,
24.08.11,1314124200000.0,2011,08,0,36,12,0,0,0,,,
25.08.11,1314210600000.0,2011,08,21.4,21,27,10,60,105,,,
26.08.11,1314297000000.0,2011,08,0,2,0,0,10,3,,,
27.08.11,1314383400000.0,2011,08,22.2,7,13,8,40,26,,,
28.08.11,1314469800000.0,2011,08,0,3,0,0,9,0,,,
02.09.11,1297189800000.0,2011,02,0,0,0,1,0,0,,,
06.09.11,1307557800000.0,2011,06,0,0,0,4,40,8,,,
07.09.11,1310149800000.0,2011,07,0,0,0,1,3,0,,,
08.09.11,1312828200000.0,2011,08,0,2,0,2,0,0,,,
09.09.11,1315506600000.0,2011,09,0.4,0,6,0,2,19,,,
12.09.11,1323369000000.0,2011,12,2.6,0,0,5,0,0,,,
13.09.11,1315852200000.0,2011,09,13.2,0,0,0,5,0,,,
14.09.11,1315938600000.0,2011,09,25.2,8,4,22,0,0,,,
15.09.11,1316025000000.0,2011,09,36.2,2,3,0,6,0,,,
16.09.11,1316111400000.0,2011,09,8,32,44,15,45,13,,,
17.09.11,1316197800000.0,2011,09,3.4,15,42,13,60,54,,,
18.09.11,1316284200000.0,2011,09,1.6,0,2,1,3,22,,,
19.09.11,1316370600000.0,2011,09,0,0,0,1,0,0,,,
20.09.11,1316457000000.0,2011,09,63,40,57,56,90,44,,,
21.09.11,1316543400000.0,2011,09,1.6,0,8,2,0,0,,,
30.09.11,1317321000000.0,2011,09,10.2,0,11,9,16,15,,,
03.10.11,1299695400000.0,2011,03,30.4,0,1,1,2,3,,,
06.10.11,1307644200000.0,2011,06,0,0,0,0,3,20,,,
12.10.11,1323455400000.0,2011,12,9,17,27,25,2,0,,,
13.10.11,1318444200000.0,2011,10,1,0,0,0,1,4,,,
14.10.11,1318530600000.0,2011,10,15.6,0,0,0,0,0,,,
15.10.11,1318617000000.0,2011,10,16,0,0,10,5,6,,,
16.10.11,1318703400000.0,2011,10,0,0,0,0,17,0,,,
18.10.11,1318876200000.0,2011,10,0,0,0,0,1,0,,,
19.10.11,1318962600000.0,2011,10,0,0,0,0,35,17,,,
23.10.11,1319308200000.0,2011,10,25.2,0,0,0,0,4,,,
24.10.11,1319394600000.0,2011,10,11,3,90,0,24,2,,,
25.10.11,1319481000000.0,2011,10,3.4,3,16,4,45,28,,,
26.10.11,1319567400000.0,2011,10,5,13,29.5,12,30,7,,,
27.10.11,1319653800000.0,2011,10,12.6,14,25,30,30,15,,,
