DATE,Storage in Mcft,inflow in cusec,Discharge in cusec
01.01.19,1452.85,50,0
02.01.19,1465.00,290,149
03.01.19,1465.00,250,250
04.01.19,1465.00,250,250
05.01.19,1392.10,0,422
06.01.19,1367.80,0,282
07.01.19,1331.35,0,422
08.01.19,1319.20,243,384
09.01.19,1282.68,170,593
10.01.19,1246.15,50,473
11.01.19,1209.63,50,473
12.01.19,1173.10,50,473
13.01.19,1148.75,0,282
14.01.19,1136.57,100,241
15.01.19,1197.45,859,154
16.01.19,1270.50,950,104
17.01.19,1355.65,1090,104
18.01.19,1440.70,1075,90
19.01.19,1465.00,906,624
20.01.19,1465.00,698,698
21.01.19,1465.00,489,489
22.01.19,1452.85,80,221
23.01.19,1440.70,0,141
24.01.19,1428.55,0,141
25.01.19,1411.54,0,197
26.01.19,1399.39,0,141
27.01.19,1399.39,128,128
28.01.19,1387.24,0,141
29.01.19,1375.09,0,139
30.01.19,1362.94,0,138
31.01.19,1350.79,0,139
