DATE,POONDI,CHOLA VARAM,RED HILLS,TAMARAI PAKKAM,CHEMBARAM BAKKAM,KORATTUR ANICUT,VEERANAM,NUNGAM BAKKAM,MEENAM BAKKAM
02.01.15,0,0,0,0,0,0,0,2,0.4
03.01.15,0,0,4.2,0,0,0,0,0,0
24.01.15,0,0,0,0,0,0,5.0,0,0
25.01.15,0,0,0,0,0,0,0,0.8,2.6
04.03.15,1.6,0,0,0,0,0,0,0,0
13.04.15,2.4,0,0,2,0,0,4,0.2,0.4
14.04.15,50.4,3,1,17.2,0,0,1,0.2,0.7
15.04.15,0,7,2,0,0,0,0,0.9,3.2
16.04.15,4,0,0,4,35,2,0,2.6,103.2
18.04.15,0,0,0,0,0,0,16,0,0
25.04.15,45.4,16,29,4,32,32,210,8.4,6
27.04.15,0,0,3,0,0,0,3,0,0
28.04.15,0,0,0,0,0,0,8,0,0
03.05.15,25,3,4,30.8,0,2,0,0,0
05.05.15,0,0,0,0,0,0,6,0,0
08.05.15,0,0,0,0,0,0,20,0,0
13.05.15,0,0,3.6,0,0,0,22,0.1,0.1
14.05.15,0,0,3,0,5,0,5,3.9,8.1
15.05.15,10,0,3,0,2,7,18,3.9,12
16.05.15,3,0,0,13,0,36,1.5,0,4.6
17.05.15,2,12,4,10,0,5,10.5,tr,4.8
18.05.15,1,0,0,0,2,47,0,0,0
28.05.15,0,0,0,0,0,0,47,0,tr
02.06.15,2,0,0,0,0,0,0,0.9,0.5
03.06.15,12,0,0,0,0,0,0,1.2,0.6
06.06.15,6,0,0,0,0,0,45,0,0
07.06.15,0,0,8.4,1,0,0,0,0,0
10.06.15,26,18,8.2,5,3,38,3,2,1
11.06.15,0,0,0,0,0,0,32,0,0
12.06.15,0,0,0,0,2,12,0,6,23.2
15.06.15,0,4,12,0,2,6,0,0,4.2
17.06.15,3,10,6.6,19.4,3,0,11,3.8,4.8
18.06.15,0,0,0,0,2,0,0,0.2,0.1
19.06.15,1,2,2,2,2,0,12.5,1.2,1
20.06.15,0,2,0,0,0,0,0,0.4,0.1
21.06.15,12,8,4.2,12,0,0,0,1.9,0
22.06.15,0,5,2.2,0,0,0,0,0,0
24.06.15,0,0,0,0,0,0,0,1.2,0.8
26.06.15,0,0,0,0,0,0,0,0,0.5
28.06.15,4.4,0,3,4,3,0,0,1.5,14
29.06.15,4,0,0,0,0,0,0,0,0.8
30.06.15,5,0,0,3,0,0,0,0,0
01.07.15,0,0,5,0,0,0,0,1.8,1.7
02.07.15,0,0,1,0,0,0,0,0,0
03.07.15,3,0,0,0,0,0,0,3.5,2.4
04.07.15,0,0,0,0,0,0,13,0,0
09.07.15,0,0,0,4,0,0,0,0,0
10.07.15,0,0,0,2,0,0,0,3.7,3.3
11.07.15,8,12,7,17,15,33,0,27.1,7.9
12.07.15,0,0,0,0,0,0,0,0.5,0.1
13.07.15,0,0,0,0,0,0,0,0,0
14.07.15,0,0,0,0,0,0,0,0.6,2.4
15.07.15,5.4,0,0,7,0,0,0,0.1,tr
16.07.15,0,5,4,3,0,0,0,0.4,tr
17.07.15,0,0,0,0,0,0,11,0,0
18.07.15,0,0,0,0,18,0,0,28.2,14.4
19.07.15,8,6,7,11,45,9,4,13.3,31.5
20.07.15,1.4,3,1,2,0,10,0,18.6,0.2
21.07.15,0,0,0.6,0,0,0,0,tr,3
22.07.15,0,0,1,2,0,0,24,tr,4.4
23.07.15,21,29,41,21.4,33,54,0,30.7,24.7
24.07.15,31,44,4.2,5.6,2,37,9,14,17.4
25.07.15,15,31,35,13.6,0,28,0,0,0
26.07.15,2,0,5,0,2,16,0,2,tr
27.07.15,23,11,17,9,17,23,33,37.5,6.3
28.07.15,10,26,27,12,0,12,50,22.8,1.2
29.07.15,0,13,22,7,12,0,13,1.1,13.8
30.07.15,0,4,0,0,0,0,0,0,0
01.08.15,0,4,1,6,45,9,0,7.6,56.4
02.08.15,5,3,1,2,1,12,12,2.8,9.0
03.08.15,2,3,10.2,5.6,0,0,0,1.2,0.4
04.08.15,4,2,1.6,2,0,0,0,0,tr
05.08.15,51,31,59,76,88,48,0,30.8,61
06.08.15,0,0,0,0,2,0,0,6.2,1.3
07.08.15,0,0,0,0,0,0,23,0,0.4
08.08.15,0,0,0,0,0,0,0,tr,5.6
09.08.15,0,0,0,0,0,0,0,0,1.9
10.08.15,0,0,0,0,0,0,14,0,tr
11.08.15,9,0,0,0,0,0,0,0.3,1.3
12.08.15,0,0,0,0,0,0,0,1.5,0.1
15.08.15,0,0,0,0,0,0,42,0,0
16.08.15,0,0,0,0,0,0,0,0.5,5.0
17.08.15,0,0,0,0,0,6,0,0.9,tr
21.08.15,30,17,29.6,40,2,37,0,14.6,23.1
22.08.15,16.6,37,36,57.4,2,13,0,5.3,4.7
23.08.15,20,35,24,14,5,32,52,3.4,0.9
24.08.15,0,24,16.8,0,0,0,0,0,0
25.08.15,0,0,0,0,0,0,3,0,0
27.08.15,1.6,2,1,4,0,0,0,0.9,0.9
28.08.15,0,0,0,0,0,0,13,1.5,0.4
30.08.15,0,0,1.6,0,0,0,0,0,1.7
31.08.15,7,12,20,9,35,65,0,29,1
02.09.15,0,0,0,0,0,0,21,0,0
03.09.15,8.4,0,1.6,0,0,13,0,0,tr
06.09.15,0,0,6.2,0,0,0,0,0,0
07.09.15,1,2,1,3,0,0,0,0,0
08.09.15,1.6,0,0,0,2,0,0,0,0.4
10.09.15,0,0,0,0,80,0,0,47.5,35.2
11.09.15,0,2,1,4,0,0,0,0.8,0.2
12.09.15,0,0,0,0,0,0,0,0,0.5
13.09.15,0,0,0,0,0,0,8,0,0
14.09.15,0,0,0,0,0,0,0,0,0.1
16.09.15,10,3,5.4,5,0,0,0,0,0
18.09.15,0,0,0,0,0,0,0,0.2,4.9
19.09.15,6.6,14,13,32,0,0,0,4.3,0.9
21.09.15,36,11,9.2,8,8,23,60,22.2,23.2
26.09.15,0,61,22,44,0,0,0,tr,0
29.09.15,49,0,0,8,0,0,0,0,1
30.09.15,0,0,0,0,4,17,0,tr,0.1
01.10.15,5.4,0,0,0,0,0,0,0,1.5
02.10.15,0,0,0,24,0,0,0,tr,0.4
03.10.15,45,37,30,48,22,38,0,27.4,26.7
04.10.15,2.8,0,2.6,0,5,0,0,0.2,0
05.10.15,1.2,0,0,0,15,0,2,0.4,15.9
06.10.15,0,0,0,12,0,0,2,9.3,0
07.10.15,2.8,7,1.8,0,0,0,0,0,0
08.10.15,46,14,15,29,40,37,0,8.2,17.5
09.10.15,24,13,15.2,9.8,0,11,0,5.6,tr
10.10.15,27,12,20.8,9,0,7,0,19.5,1
11.10.15,53,17,15,5.4,26,5,0,13.4,20.5
16.10.15,0,0,0,0,2,0,0,0,0
19.10.15,0,0,0,0,0,0,25,tr,2.9
20.10.15,0,0,0,0,1,0,0,0,0
24.10.15,0,0,0,0,4,0,0,22.5,6.5
26.10.15,0,0,0,11,0,0,0,1.6,tr
27.10.15,0,3,12,0,0,0,0,5.2,0.4
28.10.15,0,4,4,0,50,12,10,0.5,14.4
29.10.15,7,28,25,4.8,10,9,6.8,16.4,14.2
28.10.15,8.4,4,12,9,3,0,0,24.4,13.1
29.10.15,7,28,25,4.8,10,9,6.8,16.4,14.2
30.10.15,8.4,4,12,9,3,0,0,24.4,13.1
31.10.15,4.6,7,8,31,41,7,0,5.3,24.2
01.11.15,0,4,8,0,27,0,31.5,51.8,10.2
02.11.15,17,32,24,6,22,15,24,27.5,55.7
03.11.15,0,0,2,0,2,0,2,0,0
04.11.15,75,31,24,92,5,38,0,0.6,0.2
05.11.15,0,0,2,0,0,0,8.0,0.1,3.6
06.11.15,0,0,1.6,0,0,0,0,5.9,0.7
07.11.15,2.2,0,0,0,0,0,22,tr,6.5
