DATE,Storage in Mcft,inflow in cusec,Discharge in cusec
01.01.14,763.20,50,74 + 218
02.01.14,720.20,0,74 + 384
03.01.14,687.40,0,74 + 279
04.01.14,671.00,100,74 + 172
05.01.14,638.20,100,74 + 362
06.01.14,638.20,150,74 + 70
07.01.14,622.80,200,74 + 294
08.01.14,605.40,200,65 + 315
09.01.14,605.40,200,74 + 110
10.01.14,589.00,100,61 + 155
11.1.14,589.00,150,74 + 67
12.01.14,605.40,300,74 + 25
13.01.14,614.10,250,74 + 50
14.01.14,638.20,450,74 + 75
15.01.14,638.20,250,74 + 150
16.01.14,638.20,300,74 + 200
17.01.14,622.80,150,74 + 225
18.01.14,630.50,300,74 + 50
19.01.14,687.40,800,74 + 0
20.01.14,763.20,110,74 + 0
21.01.14,870.70,1400,74 + 0
22.01.14,945.95,1100,74 + 0
23.01.14,1063.52,1450,74 + 0
24.01.14,1185.28,1500,73 + 0
25.01.14,1270.50,1100,74 + 0
26.01.14,1307.25,550,74 + 0
27.01.14,1331.35,400,74 + 0
28.01.14,1331.35,150,74 + 0
29.01.14,1331.35,100,74 + 0
30.01.14,1319.20,0,74 + 0
31.01.14,1307.25,0,74 + 8
01.02.14,1296.25,0,74 + 8
02.02.14,1296.25,0,74 + 8
03.02.14,1294.80,120,74 + 8
04.02.14,1294.85,110,74 + 8
05.02.14,1283.85,0,74 + 8
06.02.14,1272.85,0,74 + 8
07.02.14,1262.85,0,63 + 8
08.02.14,1251.85,0,74 + 8
09.02.14,1240.85,0,74 + 8
10.02.14,1229.85,0,74 + 8
11.02.14,1218.85,0,74 + 8
12.02.14,1207.85,0,74 + 8
13.02.14,1196.85,0,74 + 8
14.02.14,1185.85,0,74 + 8
15.02.14,1174.85,0,62 + 8
16.02.14,1163.85,0,74 + 8
17.02.14,1152.85,0,74 + 8
18.02.14,1141.85,0,74 + 8
19.02.14,1141.85,100,74 + 8
20.02.14,1141.85,120,74 + 8
21.02.14,1141.85,120,74 + 8
22.02.14,1130.85,0,74 + 8
23.02.14,1119.85,0,74 + 8
24.02.14,1108.85,0,74 + 8
25.02.14,1108.85,0,74 + 8
26.02.14,1097.85,0,74 + 8
27.02.14,1086.85,0,74 + 8
28.02.14,1075.85,0,74 + 8
01.03.14,1064.85,0,74 + 8
02.03.14,1053.85,0,74 + 8
03.03.14,1042.85,0,74 + 8
04.03.14,1031.85,0,74 + 8
05.03.14,1020.85,50,74 + 8
06.03.14,1009.85,0,74 + 8
07.03.14,998.85,0,74 + 8
08.03.14,987.85,0,74 + 8
09.03.14,976.85,0,74 + 8
10.03.14,965.85,0,74 + 8
11.03.14,954.85,0,74 + 8
12.03.14,943.85,0,74 + 8
13.03.14,934.85,0,62 + 8
14.03.14,923.85,0,74 + 8
15.03.14,912.85,0,74+8
16.03.14,901.85,0,74+8
17.03.14,890.05,0,74+8
18.03.14,879.85,0,74+8
19.03.14,868.85,0,73+8
20.03.14,857.85,0,72+8
21.03.14,846.85,0,74+8
22.03.14,835.85,0,74+8
23.03.14,824.85,0,71+8
24.03.14,813.85,0,74+8
25.03.14,802.85,0,74+8
26.03.14,791.85,0,74+8
27.03.14,780.85,0,74+8
28.03.14,769.85,0,74+8
29.03.14,758.85,0,74+8
30.03.14,747.85,0,74+8
31.03.14,736.85,0,74+8
01.04.14,725.85,0,74+8
02.04.14,714.85,0,74+8
03.04.14,703.85,0,74+8
04.04.14,692.85,0,74+8
05.04.14,681.85,0,74+8
06.04.14,670.85,0,74+8
07.04.14,659.85,0,74+8
08.04.14,638.20,0,74+8
09.04.14,622.80,0,74+8
10.04.14,605.40,0,74+8
11.04.14,589.00,0,61
12.04.14,572.60,0,62
13.04.14,556.20,0,74
14.04.14,539.80,0,74
15.04.14,523.40,0,74
16.04.14,507.00,0,74
17.04.14,490.60,0,74
18.04.14,474.20,0,74+8
19.04.14,457.80,0,74+8
20.04.14,441.40,0,74+8
21.04.14,433.20,0,74+8
22.04.14,425.00,0,74+8
23.04.14,413.00,0,74+8
24.04.14,402.04,0,74+8
25.04.14,392.20,0,74+8
26.04.14,425.00,500,74
27.04.14,523.40,1250,74
28.04.14,622.80,1300,74
29.04.14,741.70,1500,71
30.04.14,892.20,1900,74
01.05.14,1002.65,1400,74
02.05.14,1051.35,700,74
03.05.14,1075.70,400,74
04.05.14,1112.22,450,74
05.05.14,1136.57,450,74
06.05.14,1197.45,650,74
07.05.14,1294.00,950,74
08.05.14,1307.02,200,74
09.05.14,1307.02,100,62
10.05.14,1307.02,90,74
11.05.14,1294.85,0,74
12.05.14,1282.68,0,71
13.05.14,1270.50,0,73
14.05.14,1258.33,0,62
15.05.14,1246.15,0,60
16.05.14,1233.98,0,53
17.05.14,1221.80,0,74
18.05.14,1209.63,0,74
19.05.14,1197.45,0,74
20.05.14,1185.28,0,74
21.05.14,1160.93,0,74
22.05.14,1148.70,0,74
23.05.14,1136.58,0,74
24.05.14,1112.22,0,74
25.05.14,1124.40,250,74
26.05.14,1124.40,120,74
27.05.14,1112.22,0,74
28.05.14,1100.05,0,74
29.05.14,1087.87,0,74
30.05.14,1075.70,0,74
31.05.14,1063.53,0,74
01.06.14,1051.35,0,74
02.06.14,1039.17,0,74
03.06.14,1027.00,0,74
04.06.14,1027.00,150,74
05.06.14,1039.17,150,74
06.06.14,1027.00,0,74
07.06.14,1014.82,0,74
08.06.14,1002.65,0,74
09.06.14,992.42,0,74
10.06.14,981.42,0,74
11.06.14,972.42,0,74
12.06.14,963.42,0,74
13.06.14,954.42,0,74
14.06.14,945.42,0,74
15.06.14,936.42,0,74
16.06.14,927.42,0,74
17.06.14,918.42,0,74
18.06.14,909.42,0,60
19.06.14,900.42,0,74
20.06.14,891.42,0,74
21.06.14,882.42,0,74
22.06.14,872.40,0,74
23.06.14,862.40,0,74
24.06.14,852.40,0,63
25.06.14,842.40,0,74
26.06.14,832.40,0,74
27.06.14,822.40,0,74
28.06.14,812.40,0,74
29.06.14,802.40,0,74
30.06.14,792.00,0,73
01.07.14,782.00,0,74
02.07.14,772.00,0,74
03.07.14,762,0,74
04.07.14,752,0,74
05.07.14,742,0,74
06.07.14,732,0,74
07.07.14,722,0,74
08.07.14,712,0,74
09.07.14,702,0,74
10.07.14,692,0,74
11.07.14,682,0,74
12.07.14,672,0,74
13.07.14,662,0,74
14.07.14,652,0,74
15.07.14,642,0,74
16.07.14,632,0,74
17.07.14,622,0,74
18.07.14,612,0,74
19.07.14,602,0,74
20.07.14,592,0,74
21.07.14,582,0,74
22.07.14,572,0,72
